Portal                    Keys Needed      Keys Lacked
A Good Physician                    2                2
Autry House                         6                6
BCM Fount 2                         2                2
Baylor Col Fount                    2                2
Daughters Of TX                     1                1
Denton Cooley                       2                2
Dick Dowling                        2                2
Emergence                           1                1
Flame                               2                2
Flipperboy                          3                3
George H Hermann                    1                1
HCC Zen                             0                0
Hermann Hosp Orig                   1                1
Houston Zoo Elephant                1                1
Hummingbird                         5                5
Jones Jessie Lib                    3                3
LeRoy Melcher Fount                 1                1
Lesa A. Nelson                      9                9
MD Anderson Fount                   3                3
Magne Garden                        5                5
Michael DeBakey                     2                2
Michael E. DeBakey Lib              1                1
Prairie Wildlife                    3                3
Pranath Yama                        3                3
Prometheus                          1                1
Red Oak                             2                2
Richard JV Johnson                  2                2
Steer at UTHSC                      3                3
TMC Transit                         1                1
The Bathers                         1                1
The Garden Club                     1                1
Tree of Flames                     11               11
UTSPH Lib                           3                3
Water Nymph                         2                2
Waterslide Cafe                     4                4
Wave of Life                        1                1
Woman with Dove                     8                8
Wortham Fount in TMC                2                2
Wortham Gate                        3                3
