Portal                    Keys Needed      Keys Lacked
45 90 180 Eng                       3                0
Abercrombie Relief                  1                0
Baker College                       1                0
Berlin Wall                         2                0
Brown College                       3                0
Brown Obelisk                       6                3
Bull and Bear                       8                0
Cohen Sundial                       3                0
Color Fount                         2                0
Duncan Hall                         2                0
Edgar Lovett                        2                0
Fondren Library                     2                0
J Sayles Court                      2                0
James Skyspace                      1                0
Lovett Gears                        2                0
Michael Heiz 180                    5                0
Michael Heiz 45                     3                0
Michael Heiz 90                     3                0
Milus Garden                        2                0
Mirror                              1                0
Parque Tezontle                     3                0
Rice Owl (Car)                      1                0
Rice Owl (Stad)                     0                0
Rice South Plant                    0                0
Rice Stadium                        7                0
Rice Univ (Sally)                   1                0
Rice Univ Art Gallery               2                0
Rice Univ Entrance                  4                0
Rice Univ Physics Quad              2                0
Rice Univ Post                      9                3
Rice Warrior                        2                0
Statue of Willy Rice                3                0
The Bent Tau                        2                0
The Sisters                         3                0
W Edwin Plaza                       1                0
Zipcar                              2                0
